Destination Port, Flow Duration, Total Fwd Packets, Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Bwd Packet Length Max, Bwd Packet Length Min, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Min, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min, Fwd PSH Flags, Fwd URG Flags, Fwd Header Length, Bwd Header Length, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Variance, FIN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Down/Up Ratio, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward, Active Mean, Active Std, Active Max, Active Min, Idle Std, Label
80,2.19366e+06,8,386,386,0,48.25,1420,0,894.397,5.92618,182805,398659,1.12269e+06,2,313379,481176,20,4700,1175,1513.73,3718,24,0,0,272,168,2.2793,0,1420,150.923,145663,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,2.19387e+06,7,499,499,0,71.2857,1374,0,924.851,5.46979,199442,615997,2.14703e+06,2,365644,796801,11,4904,1226,2084.24,4836,21,0,0,232,168,2.27908,0,1374,169.083,151512,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,2.1941e+06,7,467,467,0,66.7143,1258,0,857.298,5.46921,199464,615990,2.14704e+06,2,365684,796783,12,5691,1422.75,2423.86,5621,21,0,0,232,168,2.27884,0,1258,156.75,127512,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,2.19439e+06,7,299,299,0,42.7143,1246,0,775.157,5.46848,199490,616000,2.14707e+06,2,365732,796787,11,4355,1088.75,1849.97,4293,19,0,0,232,168,2.27853,0,1246,141.75,118761,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,2.19459e+06,7,452,452,0,64.5714,1384,0,907.687,5.46799,199508,615996,2.14707e+06,2,365765,796774,15,4380,1095,1852.72,4304,21,0,0,232,168,2.27833,0,1384,166,151119,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.2085e+06,8,349,349,0,43.625,1362,0,581.891,4.05173,267375,632325,2.15107e+06,3,458358,773235,21,2535,633.75,998.321,2362,30,0,0,272,168,1.55836,0,1362,143.615,133312,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,3.20866e+06,7,461,461,0,65.8571,1332,0,607.418,3.73987,291697,905564,3.15507e+06,1,534778,1.17193e+06,10,10027,2506.75,4305.45,9964,19,0,0,232,168,1.55828,0,1332,162.417,141211,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.20884e+06,7,353,353,0,50.4286,1324,0,571.235,3.73967,291713,905557,3.15506e+06,2,534806,1.17192e+06,10,10030,2507.5,4311.94,9976,17,0,0,232,168,1.5582,0,1324,152.75,135161,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.20901e+06,7,429,429,0,61.2857,1380,0,612.339,3.73948,291728,905553,3.15506e+06,1,534834,1.1719e+06,11,10090,2522.5,4330.99,10024,19,0,0,232,168,1.55811,0,1380,163.75,149251,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.20927e+06,7,379,379,0,54.1429,1204,0,541.867,3.73916,291752,905545,3.15507e+06,2,534879,1.1719e+06,16,10184,2546,2812.74,6853,29,0,0,232,168,1.55799,0,1204,144.917,113799,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,146896,7,389,389,0,55.5714,1302,0,12573.5,81.6904,13354.2,29626.4,99557,1,24482.7,36564.6,10,6557,1639.25,2801.16,6491,19,0,0,232,168,34.0377,0,1302,153.917,132215,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,147151,7,411,411,0,58.7143,1218,0,12130.4,81.5489,13377.4,29717.4,99598,2,24525.2,36686.9,13,5976,1494,2546.11,5904,22,0,0,232,168,33.9787,0,1218,148.75,117605,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
